date,temperature,humidity,luminosity
2022-11-17 15:43:11.668,25.3,18.2,53
2022-11-17 15:43:10.024,25.3,18.2,53
2022-11-17 15:43:08.381,25.3,18.3,53
2022-11-17 15:43:06.738,25.2,18.3,53
2022-11-17 15:43:05.095,25.3,18.1,53
2022-11-17 15:43:03.451,25.3,18.1,53
2022-11-17 15:43:01.809,25.3,17.9,52
2022-11-17 15:43:00.166,25.3,17.1,52
2022-11-17 15:42:58.523,25.2,15.4,36
2022-11-17 15:42:56.879,25.2,15.1,36
2022-11-17 15:42:55.235,25.3,15.0,49
2022-11-17 15:42:53.591,25.2,15.1,51
2022-11-17 15:42:51.949,25.3,15.0,50
2022-11-17 15:42:50.305,25.3,14.4,44
2022-11-17 15:42:48.662,25.3,14.4,34
2022-11-17 15:42:47.019,25.3,14.5,33
2022-11-17 15:42:45.376,25.3,14.3,39
2022-11-17 15:42:43.733,25.2,14.3,36
2022-11-17 15:42:42.089,25.2,14.6,39
2022-11-17 15:42:40.446,25.2,14.7,43
2022-11-17 15:42:38.803,25.2,14.9,50
2022-11-17 15:42:37.160,25.2,14.9,50
2022-11-17 15:42:35.517,25.2,15.1,51
2022-11-17 15:42:33.873,25.2,15.1,51
2022-11-17 15:42:32.230,25.2,14.8,50
2022-11-17 15:42:30.588,25.2,15.0,50
2022-11-17 15:42:28.945,25.2,14.7,52
2022-11-17 15:42:27.301,25.2,15.1,53
2022-11-17 15:42:25.658,25.2,14.9,53
2022-11-17 15:42:24.014,25.2,14.8,52
2022-11-17 15:42:22.371,25.2,14.7,52
2022-11-17 15:42:20.727,25.2,14.7,51
2022-11-17 15:42:19.084,25.2,14.7,51
2022-11-17 15:42:17.441,25.2,14.8,52
2022-11-17 15:42:15.798,25.2,14.6,52
2022-11-17 15:42:14.154,25.2,14.6,52
2022-11-17 15:42:12.511,25.2,14.1,52
2022-11-17 15:42:10.867,25.2,14.1,53
2022-11-17 15:42:09.224,25.3,14.4,53
2022-11-17 15:42:07.580,25.2,14.4,53
2022-11-17 15:42:05.936,25.2,14.5,53
2022-11-17 15:42:04.292,25.2,14.7,53
2022-11-17 15:42:02.649,25.2,14.9,52
2022-11-17 15:42:01.007,25.2,14.8,51
2022-11-17 15:41:59.364,25.2,14.5,52
2022-11-17 15:41:57.720,25.2,14.5,53
2022-11-17 15:41:56.077,25.2,14.2,53
2022-11-17 15:41:54.433,25.2,13.6,53
2022-11-17 15:41:52.790,25.2,12.9,52
2022-11-17 15:41:51.147,25.2,12.6,52
2022-11-17 15:41:49.504,25.2,12.3,53
2022-11-17 15:41:47.860,25.3,12.2,53
2022-11-17 15:41:46.216,25.3,11.9,53
2022-11-17 15:41:44.574,25.3,11.7,54
2022-11-17 15:41:42.930,25.2,11.8,27
2022-11-17 15:41:41.288,25.2,12.0,31
2022-11-17 15:41:39.645,25.2,12.0,52
2022-11-17 15:41:38.001,25.2,12.0,51
2022-11-17 15:41:36.358,25.2,12.1,51
2022-11-17 15:41:34.714,25.2,11.8,51
2022-11-17 15:41:33.071,25.2,11.9,52
2022-11-17 15:41:31.427,25.2,11.7,51
2022-11-17 15:41:29.784,25.2,11.6,51
2022-11-17 15:41:28.140,25.2,11.5,50
2022-11-17 15:41:26.497,25.2,11.4,49
2022-11-17 15:41:24.854,25.3,11.3,48
2022-11-17 15:41:23.210,25.3,11.4,47
2022-11-17 15:41:21.567,25.3,11.5,52
2022-11-17 15:41:19.925,25.2,11.4,52
2022-11-17 15:41:18.281,25.3,11.5,50
2022-11-17 15:41:16.638,25.3,11.6,51
2022-11-17 15:41:14.994,25.3,11.2,37
2022-11-17 15:41:13.351,25.2,11.5,18
2022-11-17 15:41:11.708,25.2,11.3,23
2022-11-17 15:41:10.065,25.2,11.4,52
2022-11-17 15:41:08.422,25.3,11.4,52
2022-11-17 15:41:06.780,25.2,11.5,52
2022-11-17 15:41:05.137,25.2,11.9,52
2022-11-17 15:41:03.493,25.2,11.9,52
2022-11-17 15:41:01.851,25.2,11.6,51
2022-11-17 15:41:00.206,25.2,11.9,50
2022-11-17 15:40:58.563,25.2,12.0,51
2022-11-17 15:40:56.920,25.3,12.2,51
2022-11-17 15:40:55.277,25.2,12.2,51
2022-11-17 15:40:53.634,25.2,12.3,52
2022-11-17 15:40:51.991,25.2,12.5,53
2022-11-17 15:40:50.347,25.2,12.6,51
2022-11-17 15:40:48.702,25.2,12.8,51
2022-11-17 15:40:47.060,25.2,12.8,51
